app_name,app_id,developer_name,developer_id,developer_url,app_url,category,price,rating,rating_count,release_date,current_version_release_date,bundle_id,description
BlueMount - Gastos diarios,1564157925,Alfredo Grassau,1564157928,https://apps.apple.com/ar/developer/alfredo-grassau/id1564157928?uo=4,https://apps.apple.com/ar/app/bluemount-gastos-diarios/id1564157925?uo=4,Finance,Gratis,4.80556,36,2021-04-23T07:00:00Z,2022-09-04T01:07:59Z,com.bluemountapp.bluemount,"BlueMount es una aplicación, simple, intuitiva y eficaz para ordenar y hacer seguimiento de tus ingresos y gastos, en donde encontrarás la libertad para:

Crear y editar tus propias categorías y métod..."
Roentgen,1509091008,Roentgen S.A.,1509091007,https://apps.apple.com/ar/developer/roentgen-s-a/id1509091007?uo=4,https://apps.apple.com/ar/app/roentgen/id1509091008?uo=4,Medical,Gratis,4.49153,177,2020-06-20T07:00:00Z,2021-03-03T23:46:46Z,com.misalud.roentgen,Aplicación de reserva de turnos y visualización de estudios de Roentgen....
Diagnostico Tesla,1496844802,Diagnostico Tesla,1496844801,https://apps.apple.com/ar/developer/diagnostico-tesla/id1496844801?uo=4,https://apps.apple.com/ar/app/diagnostico-tesla/id1496844802?uo=4,Health & Fitness,Gratis,4.42753,138,2020-12-28T08:00:00Z,2020-12-28T17:09:09Z,com.misalud.tesla,Aplicación de reserva de turnos y visualización de estudios de Disgnótico Tesla...
Wonoma,993276421,Federico Ricalde,1003764955,https://apps.apple.com/ar/developer/federico-ricalde/id1003764955?uo=4,https://apps.apple.com/ar/app/wonoma/id993276421?uo=4,Lifestyle,Gratis,4.5,10,2015-06-02T23:02:32Z,2024-08-15T01:16:13Z,com.wonoma.mobileApp,"Wonoma es una app gratuita y sitio online que te permite reservar citas en los mejores centros de belleza y bienestar de manera fácil, rápida y gratis. 

Wonoma conecta centros de profesionales con cl..."
UMARA,1381491512,Federico Ricalde,1003764955,https://apps.apple.com/ar/developer/federico-ricalde/id1003764955?uo=4,https://apps.apple.com/ar/app/umara/id1381491512?uo=4,Lifestyle,Gratis,4.125,8,2018-05-23T00:58:54Z,2024-02-25T11:33:20Z,com.wonoma.umara.mobileApp,"Umara es el #1 de salones de belleza para manos y pies en Argentina.

A través de su APP gratuita podés ver los turnos disponibles y elegir el horario que mas te conviene desde tu Smartphone. Además, ..."
Grupo Centro,1229224870,Aurea Med S.A.,1229224869,https://apps.apple.com/ar/developer/aurea-med-s-a/id1229224869?uo=4,https://apps.apple.com/ar/app/grupo-centro/id1229224870?uo=4,Medical,Gratis,3.4,5,2017-05-04T04:17:47Z,2021-03-31T12:03:59Z,com.rma.sanatoriocentrod,"Aplicación oficial de Grupo Centro de Rosario para la Autogestión de Turnos.

Grupo Centro es una aplicación que le permitirá a nuestros pacientes autogestionar sus turnos de manera ágil y sencilla. 
..."
Mi Agenda - Eniax,1562891373,Eniax SpA,1562891375,https://apps.apple.com/ar/developer/eniax-spa/id1562891375?uo=4,https://apps.apple.com/ar/app/mi-agenda-eniax/id1562891373?uo=4,Business,Gratis,5,1,2021-04-17T07:00:00Z,2023-11-30T07:46:04Z,com.appconvertly.miagenda,"Mi Agenda es la aplicación que ayuda a los médicos a conocer los turnos y/o citas reservadas y disponibles, logrando facilitar la organización de su agenda, disponibilidad y optimización de la oferta...."
Cianci Peluqueros,1149338800,Federico Ricalde,1003764955,https://apps.apple.com/ar/developer/federico-ricalde/id1003764955?uo=4,https://apps.apple.com/ar/app/cianci-peluqueros/id1149338800?uo=4,Lifestyle,Gratis,5,3,2016-09-12T17:33:43Z,2022-05-10T11:02:48Z,com.wonoma.cianci.mobileApp,"Para nosotros eres muy importante y queremos estar cerca tuyo las 24 hs, los 7 días de la semana para que optimices tu tiempo al máximo.

Reservar tu turno es muy fácil:

1° Elegís el servicio

2° El ..."
Baruc Fit Center,6471382861,Lucas Rueda,1475424009,https://apps.apple.com/ar/developer/lucas-rueda/id1475424009?uo=4,https://apps.apple.com/ar/app/baruc-fit-center/id6471382861?uo=4,Lifestyle,Gratis,0,0,2023-11-06T08:00:00Z,2023-12-27T06:49:27Z,com.sistemasgym.baruc,"¡Antes que nada, debes estar registrado y con tus cuentas al día!


Una vez que ingreses en la app con tus datos, podrás ver el panel principal.


RESERVAS

Para reservar, apretas en la opción ""Reserv..."
Cita Medica,1462562062,SOLUCIONES APP S.A.,1454695382,https://apps.apple.com/ar/developer/soluciones-app-s-a/id1454695382?uo=4,https://apps.apple.com/ar/app/cita-medica/id1462562062?uo=4,Medical,Gratis,0,0,2019-05-31T00:08:18Z,2021-07-24T08:46:58Z,com.citamedica.paciente,"Con esta aplicación podrás buscar médicos y consultorios privados cercanos a tu ubicación actual, podrás crear recordatorios para tus citas.
Podrás consultar los precios de tus medicamentos y recetas ..."
Patricia Eniax,6502405307,Eniax SpA,1562891375,https://apps.apple.com/ar/developer/eniax-spa/id1562891375?uo=4,https://apps.apple.com/ar/app/patricia-eniax/id6502405307?uo=4,Business,Gratis,0,0,2024-08-12T07:00:00Z,2024-08-12T18:58:59Z,com.patricia.eniax,"Patricia Eniax es la asistente de los profesionales del mundo de la salud, bienestar y belleza que de forma individual y agrupados en centros estén buscando solucionar la gestión de su agenda y contar..."
Arrendador Registro de la Visita Gratuita,998799263,Code Smart LLC,460440673,https://apps.apple.com/ar/developer/code-smart-llc/id460440673?uo=4,https://apps.apple.com/ar/app/arrendador-registro-de-la-visita-gratuita/id998799263?uo=4,Business,Gratis,0,0,2015-06-06T00:15:12Z,2015-06-06T00:15:12Z,com.codesmartllc.visitloglite,"Esta es una herramienta de trabajo para el seguimiento de las distancias y los detalles de esta visita a efectos fiscales y contables.

Mantener fácilmente un registro detallado de dónde ha estado, cu..."
ReFuel - Registro de millas,1560692003,Marcin Chojnacki,764674594,https://apps.apple.com/ar/developer/marcin-chojnacki/id764674594?uo=4,https://apps.apple.com/ar/app/refuel-registro-de-millas/id1560692003?uo=4,Finance,USD 0.99,0,0,2021-04-14T07:00:00Z,2022-05-03T15:55:44Z,pl.mchdev.refuel,"ReFuel es una aplicación rápida y sencilla para rastrear y administrar sus gastos de combustible. Agrega tu vehículo a la aplicación y déjanos hacer el resto. Cada vez que visite la gasolinera, guarde..."
Recuento de Viaje libre,999049939,Code Smart LLC,460440673,https://apps.apple.com/ar/developer/code-smart-llc/id460440673?uo=4,https://apps.apple.com/ar/app/recuento-de-viaje-libre/id999049939?uo=4,Business,Gratis,0,0,2015-06-06T00:17:20Z,2015-06-06T00:17:20Z,com.codesmartllc.tripcounterlite,"Esta es una herramienta de trabajo para el seguimiento de las distancias y los detalles de esta visita a efectos fiscales y contables.

Mantener fácilmente un registro detallado de dónde ha estado, cu..."
Gekko Trayectos - GPS tracker,1032341746,Gekkolab,711596901,https://apps.apple.com/ar/developer/gekkolab/id711596901?uo=4,https://apps.apple.com/ar/app/gekko-trayectos-gps-tracker/id1032341746?uo=4,Business,Gratis,0,0,2015-10-13T23:13:08Z,2024-02-07T08:56:26Z,com.getgekko.travel,"La app de Gekko Trayectos permite a los autónomos y pequeñas empresas gestionar sus desplazamientos y rutas de trabajo de una forma fácil y rápida

● Utiliza el seguimiento GPS para trazar una ruta ex..."
